_key,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
75,75,GAU,Galiano Gold Inc.,Basic Materials,Gold,Canada,217.94M,4.35,0.94,-1.30%,"194,515"
76,76,GPL,Great Panther Mining Limited,Basic Materials,Other Industrial Metals & Mining,Canada,217.54M,5.28,0.60,0.47%,"917,451"
77,77,MHH,"Mastech Digital, Inc.",Industrials,Staffing & Employment Services,USA,213.83M,24.63,18.89,1.02%,"28,929"
78,78,GDP,Goodrich Petroleum Corporation,Energy,Oil & Gas E&P,USA,210.64M,-,15.97,-1.36%,"49,399"
79,79,BATL,Battalion Oil Corporation,Energy,Oil & Gas E&P,USA,208.37M,-,12.56,-1.02%,"6,836"
80,80,EVBN,"Evans Bancorp, Inc.",Financial,Banks - Regional,USA,208.23M,13.14,38.49,-1.61%,"10,402"
81,81,GROY,Gold Royalty Corp.,Basic Materials,Other Precious Metals & Mining,Canada,205.61M,-,4.94,-1.40%,"173,107"
82,82,THM,International Tower Hill Mines Ltd.,Basic Materials,Gold,Canada,202.76M,-,1.02,0.99%,"30,132"
83,83,EMAN,eMagin Corporation,Technology,Semiconductor Equipment & Materials,USA,196.10M,-,2.78,-1.77%,"368,033"
84,84,GSV,Gold Standard Ventures Corp,Basic Materials,Gold,Canada,194.04M,-,0.54,-0.20%,"275,213"
85,85,KULR,"KULR Technology Group, Inc.",Technology,Electronic Components,USA,190.38M,-,2.02,-1.94%,"875,739"
86,86,GLDG,GoldMining Inc.,Basic Materials,Gold,Canada,189.88M,-,1.27,-1.55%,"125,412"
87,87,NEN,New England Realty Associates Limited Partnership,Real Estate,Real Estate - Diversified,USA,177.60M,-,60.00,-0.41%,"3,068"
88,88,USAS,Americas Gold and Silver Corporation,Basic Materials,Other Industrial Metals & Mining,Canada,174.35M,-,1.31,-3.68%,"732,702"
89,89,VNRX,VolitionRx Limited,Healthcare,Diagnostics & Research,USA,158.68M,-,2.99,0.34%,"159,393"
90,90,ITRG,Integra Resources Corp.,Basic Materials,Other Precious Metals & Mining,Canada,157.86M,-,2.88,5.88%,"545,145"
91,91,GORO,Gold Resource Corporation,Basic Materials,Gold,USA,155.54M,-,2.07,0.98%,"878,409"
92,92,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA,147.46M,12.28,42.33,-0.87%,"4,674"
93,93,CMCL,Caledonia Mining Corporation Plc,Basic Materials,Gold,USA,144.82M,8.12,11.90,0.34%,"9,916"
94,94,INTT,inTEST Corporation,Technology,Semiconductors,USA,144.33M,58.08,13.59,-3.14%,"95,250"
95,95,MTNB,"Matinas BioPharma Holdings, Inc.",Healthcare,Biotechnology,USA,142.89M,-,0.69,-2.13%,"1,020,988"
96,96,EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,USA,142.08M,-,4.25,-1.39%,"76,251"
97,97,YCBD,"cbdMD, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,141.44M,-,2.45,0.00%,"145,980"
98,98,ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,141.15M,-,6.76,-1.74%,"92,736"
99,99,SACH,Sachem Capital Corp.,Real Estate,REIT - Mortgage,USA,137.85M,12.62,5.10,-0.97%,"174,618"
100,100,LODE,Comstock Mining Inc.,Real Estate,Real Estate Services,USA,134.54M,4.34,3.05,-2.24%,"584,990"
101,101,WLMS,Williams Industrial Services Group Inc.,Industrials,Engineering & Construction,USA,127.84M,93.65,4.87,-2.01%,"69,285"
102,102,WWR,"Westwater Resources, Inc.",Basic Materials,Other Industrial Metals & Mining,USA,127.38M,-,3.79,-4.29%,"1,524,469"
103,103,PTK,PTK Acquisition Corp.,Financial,Shell Companies,USA,126.59M,-,9.89,0.00%,"5,922"
104,104,PW,Power REIT,Real Estate,REIT - Diversified,USA,121.00M,31.18,37.23,-3.07%,"11,416"
105,105,PHGE,BiomX Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,120.20M,-,4.81,6.93%,"25,720"
106,106,CMT,"Core Molding Technologies, Inc.",Basic Materials,Specialty Chemicals,USA,119.99M,30.92,14.10,-3.95%,"18,546"
107,107,CHFW,Consonance-HFW Acquisition Corp.,Financial,Shell Companies,USA,118.74M,-,9.97,-0.10%,"62,692"
108,108,APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,118.63M,5.28,9.70,3.30%,"17,929,570"
109,109,BMTX,"BM Technologies, Inc.",Technology,Software - Application,USA,117.03M,-,9.53,-3.54%,"60,516"
110,110,TRX,Tanzanian Gold Corporation,Basic Materials,Gold,Canada,116.67M,-,0.44,-1.18%,"597,565"
111,111,PTN,"Palatin Technologies, Inc.",Healthcare,Biotechnology,USA,115.93M,-,0.50,-1.86%,"996,840"
112,112,FURY,Fury Gold Mines Limited,Basic Materials,Other Industrial Metals & Mining,Canada,114.37M,-,0.97,-3.02%,"386,752"
113,113,XTNT,"Xtant Medical Holdings, Inc.",Healthcare,Medical Devices,USA,113.40M,-,1.19,-3.25%,"554,332"
114,114,DPW,"Ault Global Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,113.03M,-,2.32,-5.31%,"2,416,168"
115,115,MLSS,Milestone Scientific Inc.,Healthcare,Medical Instruments & Supplies,USA,111.73M,-,1.60,-6.98%,"303,221"
116,116,LOV,Spark Networks SE,Communication Services,Internet Content & Information,Germany,110.13M,-,4.12,-2.83%,"65,989"
117,117,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,109.83M,7.34,26.15,-1.32%,"2,092"
118,118,IGC,"India Globalization Capital, Inc.",Industrials,Conglomerates,USA,108.93M,-,1.77,-2.21%,"3,605,498"
